lead_free;manufacturer ;name;Caliber;bullet weight;grain;j_0m;j_150m;v_0m;v_150m;;;;;;;;;;;;;
yes;Geco ;Zero ;308;8,8;136;3330;2403;870;739;;;;;;;;;;;;;
yes;Geco ;Star;308;10,7;165;3280;2689;783;709;;;;;;;;;;;;;
yes;Sax;KJG lead free;308;8;123,4;3454;2734;929;827;;;;;;;;;;;;;
yes;Sellier & Bellot;tipped eXergy blue;308;10,7;165;3675;3056;829;756;;;;;;;;;;;;;
yes;Sellier & Bellot;eXergy EDGE;308;10,7;165;3677;1968;829;745;;;;;;;;;;;;;
yes;Sellier & Bellot;eXergy Bleifrei;308;11,7;180;3697;2842;795;697;;;;;;;;;;;;;
yes;SAKO;Powerhead Blade;308;10,5;162;3487;2878;815;740;;;;;;;;;;;;;
yes;Hornady;Superformance CX;308;10,7;165;3756;3174;838;770;;;;;;;;;;;;;
yes;Hornady;Superformance CXS;308;9,7;150;3771;3171;881;808;;;;;;;;;;;;;
yes;RWS;Hit;308;10,7;165;3606;3017;821;751;;;;;;;;;;;;;
yes;Federal ;Trophy Copper bleifrei;308;9,7;150;3592;3124;860;802;;;;;;;;;;;;;
yes;Federal ;Power Shok Copper HP;308;9,7;150;3596;2755;860;753;;;;;;;;;;;;;
yes;Norma;Ecostrike;308;10,7;165;3339;2789;790;722;;;;;;;;;;;;;
